0,1,2,3,4,5,6,7,8,9
56778.0,1974.0,7.0,219.1,807.4,19.1,18.7,85.0,130.6,24.6
56778.0,1974.0,8.0,280.6,808.3,18.0,17.8,87.0,91.8,61.4
56778.0,1974.0,9.0,62.0,811.2,17.5,17.0,86.0,142.5,10.1
56778.0,1974.0,10.0,57.1,813.4,15.7,14.1,79.0,138.8,12.6
56778.0,1974.0,11.0,37.5,814.3,13.0,12.0,81.0,159.1,14.0
56778.0,1974.0,12.0,1.2,812.7,8.6,7.6,72.0,274.0,1.2
56778.0,1975.0,1.0,31.1,812.5,8.2,7.2,71.0,254.5,22.1
56778.0,1975.0,2.0,9.5,810.3,10.2,7.3,63.0,264.2,999804.0
56778.0,1975.0,3.0,3.3,809.6,13.5,7.7,55.0,300.9,2.1
56778.0,1975.0,4.0,7.3,808.7,17.0,9.9,55.0,284.3,4.0
56778.0,1975.0,5.0,218.3,808.4,19.3,14.1,66.0,213.2,59.6
56778.0,1975.0,6.0,107.4,807.3,19.7,18.1,79.0,131.8,20.1
56778.0,1975.0,7.0,141.7,808.3,19.4,18.3,82.0,145.4,29.7
56778.0,1975.0,8.0,198.9,808.8,18.8,17.7,83.0,178.8,40.9
56778.0,1975.0,9.0,40.7,811.7,17.7,16.4,83.0,187.3,10.3
56778.0,1975.0,10.0,49.8,813.0,15.6,13.9,79.0,142.8,16.4
56778.0,1975.0,11.0,101.7,813.6,10.5,10.3,81.0,141.0,41.7
56778.0,1975.0,12.0,3.3,813.7,4.9,5.9,72.0,210.0,999802.6
56778.0,1976.0,1.0,24.5,812.1,6.5,6.9,74.0,205.9,17.6
56778.0,1976.0,2.0,23.1,809.2,9.8,7.3,64.0,254.3,18.1
56778.0,1976.0,3.0,37.5,809.7,11.7,7.9,62.0,276.2,999832.2
56778.0,1976.0,4.0,4.3,809.4,16.0,9.8,58.0,281.9,2.3
56778.0,1976.0,5.0,140.7,808.9,18.1,15.3,75.0,200.6,35.8
56778.0,1976.0,6.0,205.4,807.9,18.6,16.7,78.0,128.8,71.3
56778.0,1976.0,7.0,261.4,808.1,19.3,18.4,83.0,154.1,56.9
56778.0,1976.0,8.0,224.3,809.8,18.8,18.1,84.0,183.4,63.5
56778.0,1976.0,9.0,138.1,811.8,17.1,16.1,83.0,116.4,56.7
56778.0,1976.0,10.0,109.5,813.3,15.0,12.9,78.0,206.9,53.6
56778.0,1976.0,11.0,20.9,814.1,10.2,9.6,78.0,144.5,6.5
56778.0,1976.0,12.0,0.7,811.9,8.5,7.0,68.0,248.4,0.4
56778.0,1977.0,1.0,1.6,809.5,8.0,6.2,62.0,246.0,0.9
56778.0,1977.0,2.0,47.7,812.3,7.2,7.1,73.0,176.7,999840.9
56778.0,1977.0,3.0,9.9,813.4,12.4,8.3,61.0,239.0,8.6
56778.0,1977.0,4.0,60.3,809.7,15.8,11.0,65.0,233.1,29.2
56778.0,1977.0,5.0,38.5,809.1,19.2,13.5,63.0,270.8,9.4
56778.0,1977.0,6.0,36.1,807.4,20.6,16.5,69.0,221.8,15.0
56778.0,1977.0,7.0,230.3,807.1,20.0,19.3,84.0,123.2,61.0
56778.0,1977.0,8.0,112.6,809.7,18.9,17.9,83.0,138.8,26.4
56778.0,1977.0,9.0,162.3,813.0,16.9,15.9,83.0,143.0,22.0
56778.0,1977.0,10.0,57.9,815.5,14.3,13.2,82.0,144.7,12.9
56778.0,1977.0,11.0,45.0,815.4,10.6,10.2,80.0,130.4,18.2
56778.0,1977.0,12.0,9.9,813.8,7.8,7.4,73.0,220.0,3.5
56778.0,1978.0,1.0,31.9,812.0,6.5,6.6,71.0,191.5,10.2
