V01301 V04001 V04002 V13305 V10004_701 V12001_701 V13004_701 V13003_701 V14032 V13052
56778 1971 4 20.6000 810.1000 15.9000 11.0000 65.0000 266.5000 8.2000 
56778 1971 5 122.3000 809.5000 17.8000 14.0000 71.0000 212.6000 32.7000 
56778 1971 6 290.0000 807.2000 19.5000 18.6000 83.0000 127.3000 68.0000 
56778 1971 7 155.2000 807.8000 19.0000 18.5000 85.0000 172.0000 21.2000 
56778 1971 8 309.6000 809.2000 18.0000 18.0000 88.0000 137.2000 59.5000 
56778 1971 9 112.3000 811.2000 17.6000 17.3000 86.0000 139.8000 46.7000 
56778 1971 10 105.8000 815.7000 13.3000 12.0000 79.0000 159.3000 30.0000 
56778 1971 11 11.3000 816.6000 9.4000 8.8000 75.0000 242.4000 999804.1000 
56778 1971 12 7.7000 813.8000 7.3000 7.7000 78.0000 176.9000 3.8000 
56778 1972 1 5.7000 811.8000 8.1000 7.5000 72.0000 218.7000 2.9000 
56778 1972 2 6.6000 808.4000 8.6000 7.0000 67.0000 216.2000 3.2000 
56778 1972 3 17.7000 810.9000 11.9000 8.6000 66.0000 263.8000 999811.3000 
56778 1972 4 38.3000 810.2000 14.3000 10.3000 67.0000 232.4000 999813.3000 
56778 1972 5 90.8000 808.1000 19.1000 14.2000 66.0000 262.1000 63.6000 
56778 1972 6 170.1000 808.1000 19.7000 18.0000 79.0000 174.0000 43.3000 
56778 1972 7 208.0000 806.3000 19.8000 19.0000 83.0000 171.7000 43.3000 
56778 1972 8 103.9000 809.2000 19.0000 18.1000 83.0000 210.5000 32.3000 
56778 1972 9 140.3000 812.7000 17.0000 16.6000 86.0000 137.3000 42.7000 
56778 1972 10 44.2000 814.4000 15.9000 14.0000 79.0000 227.1000 30.7000 
56778 1972 11 147.3000 814.9000 10.9000 10.7000 84.0000 156.7000 29.9000 
56778 1972 12 2.5000 812.8000 8.3000 8.1000 76.0000 226.6000 1.5000 
56778 1973 1 5.4000 810.7000 8.1000 7.0000 69.0000 235.5000 1.9000 
56778 1973 2 6.1000 811.8000 10.8000 7.2000 60.0000 265.1000 2.7000 
56778 1973 3 54.5000 811.5000 12.7000 8.8000 64.0000 292.3000 46.5000 
56778 1973 4 29.4000 808.7000 17.3000 11.2000 60.0000 278.4000 999816.4000 
56778 1973 5 133.3000 809.0000 19.3000 16.2000 74.0000 211.0000 33.4000 
56778 1973 6 246.9000 807.5000 19.9000 18.8000 82.0000 120.0000 63.7000 
56778 1973 7 277.0000 808.0000 19.5000 18.6000 83.0000 189.9000 999866.4000 
56778 1973 8 172.8000 810.0000 18.8000 18.4000 86.0000 166.5000 32.8000 
56778 1973 9 147.0000 812.5000 17.8000 17.1000 85.0000 147.9000 46.1000 
56778 1973 10 63.2000 814.8000 15.0000 13.7000 81.0000 126.1000 34.5000 
56778 1973 11 98.7000 815.7000 10.7000 11.0000 85.0000 114.5000 26.5000 
56778 1973 12 3.0000 814.3000 7.7000 8.0000 77.0000 201.0000 2.3000 
56778 1974 1 1.9000 810.0000 6.8000 5.9000 65.0000 277.5000 0.5000 
56778 1974 2 1.0000 810.0000 8.3000 6.9000 68.0000 220.9000 1.0000 
56778 1974 3 25.3000 811.1000 11.6000 7.9000 63.0000 249.8000 999811.2000 
56778 1974 4 63.8000 810.2000 14.3000 11.1000 71.0000 225.3000 17.5000 
56778 1974 5 220.2000 809.5000 18.3000 15.2000 74.0000 218.7000 94.9000 
56778 1974 6 173.6000 807.2000 19.2000 17.8000 80.0000 115.3000 61.6000 
56778 1974 7 219.1000 807.4000 19.1000 18.7000 85.0000 130.6000 24.6000 
56778 1974 8 280.6000 808.3000 18.0000 17.8000 87.0000 91.8000 61.4000 
56778 1974 9 62.0000 811.2000 17.5000 17.0000 86.0000 142.5000 10.1000 
56778 1974 10 57.1000 813.4000 15.7000 14.1000 79.0000 138.8000 12.6000 
56778 1974 11 37.5000 814.3000 13.0000 12.0000 81.0000 159.1000 14.0000 
56778 1974 12 1.2000 812.7000 8.6000 7.6000 72.0000 274.0000 1.2000 
56778 1975 1 31.1000 812.5000 8.2000 7.2000 71.0000 254.5000 22.1000 
56778 1975 2 9.5000 810.3000 10.2000 7.3000 63.0000 264.2000 999804.0000 
56778 1975 3 3.3000 809.6000 13.5000 7.7000 55.0000 300.9000 2.1000 
56778 1975 4 7.3000 808.7000 17.0000 9.9000 55.0000 284.3000 4.0000 
56778 1975 5 218.3000 808.4000 19.3000 14.1000 66.0000 213.2000 59.6000 
56778 1975 6 107.4000 807.3000 19.7000 18.1000 79.0000 131.8000 20.1000 
56778 1975 7 141.7000 808.3000 19.4000 18.3000 82.0000 145.4000 29.7000 
56778 1975 8 198.9000 808.8000 18.8000 17.7000 83.0000 178.8000 40.9000 
56778 1975 9 40.7000 811.7000 17.7000 16.4000 83.0000 187.3000 10.3000 
56778 1975 10 49.8000 813.0000 15.6000 13.9000 79.0000 142.8000 16.4000 
56778 1975 11 101.7000 813.6000 10.5000 10.3000 81.0000 141.0000 41.7000 
56778 1975 12 3.3000 813.7000 4.9000 5.9000 72.0000 210.0000 999802.6000 
56778 1976 1 24.5000 812.1000 6.5000 6.9000 74.0000 205.9000 17.6000 
56778 1976 2 23.1000 809.2000 9.8000 7.3000 64.0000 254.3000 18.1000 
56778 1976 3 37.5000 809.7000 11.7000 7.9000 62.0000 276.2000 999832.2000 
56778 1976 4 4.3000 809.4000 16.0000 9.8000 58.0000 281.9000 2.3000 
56778 1976 5 140.7000 808.9000 18.1000 15.3000 75.0000 200.6000 35.8000 
56778 1976 6 205.4000 807.9000 18.6000 16.7000 78.0000 128.8000 71.3000 
56778 1976 7 261.4000 808.1000 19.3000 18.4000 83.0000 154.1000 56.9000 
56778 1976 8 224.3000 809.8000 18.8000 18.1000 84.0000 183.4000 63.5000 
56778 1976 9 138.1000 811.8000 17.1000 16.1000 83.0000 116.4000 56.7000 
56778 1976 10 109.5000 813.3000 15.0000 12.9000 78.0000 206.9000 53.6000 
56778 1976 11 20.9000 814.1000 10.2000 9.6000 78.0000 144.5000 6.5000 
56778 1976 12 0.7000 811.9000 8.5000 7.0000 68.0000 248.4000 0.4000 
56778 1977 1 1.6000 809.5000 8.0000 6.2000 62.0000 246.0000 0.9000 
56778 1977 2 47.7000 812.3000 7.2000 7.1000 73.0000 176.7000 999840.9000 
